"P_CO2=15mmHg (1.99984KPa), pH=7.5",,,,"P_CO2=40mmHg (5.333KPa), pH=7.25",,,"P_CO2=70mmHg (9.33257KPa), pH=7.15",
P_O2,S_HbO2,std,,P_O2,S_HbO2,,P_O2,S_HbO2
-0.179528143,0.004437893,0.000443789,,-0.357997123,0.001484594,,-0.178998561,0.001479298
au,0.205262275,0.020526228,,12.15018933,0.122416304,,15.37189864,0.123800277
12.66626654,0.239264941,0.023926494,,13.40106093,0.134213616,,16.80044485,0.142988782
13.03406092,0.184520332,0.018452033,,14.47134523,0.154892009,,17.87178831,0.157749985
16.23617572,0.29537234,0.029537234,,15.36421971,0.166699913,,19.12160075,0.175464487
17.11845856,0.366352154,0.036635215,,16.43556317,0.181461115,,26.42903166,0.351283794
18.55415413,0.345599619,0.034559962,,16.96964615,0.197717504,,28.92759738,0.39262999
19.61570033,0.415094839,0.041509484,,18.57189511,0.246486668,,29.11374529,0.352683654
21.21132951,0.500846448,0.050084645,,20.17785113,0.274545663,,30.71784778,0.391097734
21.5791239,0.446101839,0.044610184,,20.54193844,0.240511223,,33.56117108,0.506398228
21.93261958,0.471239309,0.047123931,,22.49000415,0.357317493,,35.16712711,0.534457223
25.14108935,0.546588171,0.054658817,,24.2760179,0.379454001,,36.06715094,0.506324086
26.91386356,0.642689568,0.064268957,,24.80533465,0.422337749,,36.95314086,0.556593732
28.87066736,0.710679012,0.071067901,,28.91727054,0.450322603,,46.95296433,0.690913263
29.22389825,0.73729578,0.073729578,,31.7558276,0.592250457,,48.38045138,0.716018959
31.18996973,0.753509802,0.07535098,,35.50235222,0.66166624,,48.91532874,0.727837454
32.80916529,0.707603908,0.070760391,,37.47477868,0.642377115,,49.80687926,0.747041846
38.69016832,0.852400328,0.085240033,,41.39606521,0.735456367,,61.06419411,0.856176245
39.23113586,0.830194974,0.083019497,,46.57378395,0.809267677,,61.96474752,0.825084512
41.01344254,0.873041652,0.087304165,,48.54038501,0.822523103,,69.83141654,0.876626919
44.05694767,0.869993027,0.086999303,,49.60961014,0.849118688,,86.2902813,0.926435828
51.92388148,0.920056136,0.092005614,,61.7674784,0.927161355,,86.82304033,0.950088705
52.6348447,0.94814161,0.094814161,,65.52724256,0.922612249,,90.40354114,0.947024193
56.03687653,0.942123799,0.09421238,,71.6086922,0.947580254,,150.0029127,0.985201726
150.1800577,0.995551515,0.099555152,,73.93434954,0.954907897,,,
,,,,150.0029127,0.985201726,,,
